"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"TA","1.5",1.8,25233.2033229951,29790.2842091687
"BS","1.5",1.8,44181.2085530932,51011.0487974966
"Other","1.5",1.8,19540.4262103389,19635.6072108436
"All","1.5",2,135204.453043274,156934.512535401
"JP","1.5",2,35048.4399537223,44974.9807404207
"TA","1.5",2,25794.092534893,30100.5770645143
"BS","1.5",2,44446.0436382718,51694.5757651656
"Other","1.5",2,19723.5514414809,19828.7279033246
"All","2",0,133023.533133431,148595.13375887
"JP","2",0,35449.552853769,41856.5989842554
"TA","2",0,24249.4843381498,27825.0978098162
"BS","2",0,44761.0802907065,48005.0283894486
"Other","2",0,18984.8771804903,18693.8083861944
"All","2",0.2,132882.438828409,149021.687047974
"JP","2",0.2,35394.8369399034,42035.6009576505
"TA","2",0.2,24235.9290946689,27947.8153730864
"BS","2",0.2,44710.8567457676,48071.0813644857
"Other","2",0.2,18989.7553706265,18746.4744598496
"All","2",0.4,132786.24109496,149532.861188273
"JP","2",0.4,35335.158074817,42257.9697452866
"TA","2",0.4,24233.1589463228,28095.9287878014
"BS","2",0.4,44653.6122003613,48194.3182836877
"Other","2",0.4,19006.2695114044,18812.8613401801
"All","2",0.6,132742.227339846,150122.901748687
"JP","2",0.6,35269.5648945564,42517.5552290707
"TA","2",0.6,24245.3387348965,28269.0191169139
"BS","2",0.6,44587.2584778063,48373.6389785247
"Other","2",0.6,19034.9909756192,18893.3281377665
"All","2",0.8,132758.262691177,150785.705448277
"JP","2",0.8,35197.4894134681,42806.8890624161
"TA","2",0.8,24278.4171315639,28466.0909654772
"BS","2",0.8,44511.4622679671,48608.2015833211
"Other","2",0.8,19076.1785214813,18987.6465889324
"All","2",1,132845.167945954,151515.736289711
"JP","2",1,35120.8495247205,43117.8821207394
"TA","2",1,24341.1835000118,28685.3115951615
"BS","2",1,44430.0512180415,48898.2322677919
"Other","2",1,19129.937073666,19095.196428099
"All","2",1.2,133020.353661962,152308.475038745
"JP","2",1.2,35047.4280583169,43442.600919117
"TA","2",1.2,24446.4944075511,28924.0306384693
"BS","2",1.2,44353.4164723844,49245.0741830395
"Other","2",1.2,19196.6738958977,19215.2648779671
"All","2",1.4,133309.823484495,153159.912040595
"JP","2",1.4,34993.6794831201,43773.7822918652
"TA","2",1.4,24611.1060121361,29179.0562847839
"BS","2",1.4,44299.2812298163,49650.1730091145
"Other","2",1.4,19277.5476652767,19347.2352085472
"All","2",1.6,133745.136867826,154065.361219298
"JP","2",1.6,34983.8023415771,44105.0291606089
"TA","2",1.6,24852.2307128975,29446.9588342755
"BS","2",1.6,44290.6480268774,50113.5462676545
"Other","2",1.6,19374.4748249886,19490.5725320122
"All","2",1.8,134355.04175423,155018.282924678
"JP","2",1.8,35043.8434350727,44430.883382606
"TA","2",1.8,25181.2938769519,29724.1844223
"BS","2",1.8,44351.0929616111,50632.4541629182
"Other","2",1.8,19489.536935183,19644.6618392221
"All","2",2,135155.942519198,156009.65488791
