"Species","sizeWeight","disWeight","HAIC","IntraHAIC","InterHAIC"
"Black spruce","0.1",0.1,58896.5382727411,61130.1517141431,64675.1664789998
"Other species","0.1",0.1,19918.9623876704,22214.3504667924,21744.2975059172
"All species","0.1",0.2,151200.369093389,161764.444612404,168890.326242526
"Jack pine","0.1",0.2,39988.4786676318,40837.1601250839,45792.2962746948
"Trembling aspen","0.1",0.2,28944.7157780393,32488.2298256795,34492.1878307476
"Black spruce","0.1",0.2,58876.430804769,61050.8770767218,64615.9273719734
"Other species","0.1",0.2,19908.1182635134,22178.9592509453,21708.433152446
"All species","0.1",0.3,151136.825581255,161524.34738047,168761.157905842
"Jack pine","0.1",0.3,39955.9638539038,40801.2330662788,45792.9722049076
"Trembling aspen","0.1",0.3,28918.9219591281,32442.2050568399,34456.8875727082
"Black spruce","0.1",0.3,58855.4436089573,60969.8167291371,64557.8335553947
"Other species","0.1",0.3,19897.8831682473,22144.3016959447,21673.163035179
"All species","0.1",0.4,151072.540502951,161280.268912154,168635.753546749
"Jack pine","0.1",0.4,39920.7301445966,40762.7136642875,45793.8685472223
"Trembling aspen","0.1",0.4,28893.7798021247,32395.6147218628,34421.6045552102
"Black spruce","0.1",0.4,58833.6266564193,60887.3854615105,64501.1130373623
"Other species","0.1",0.4,19888.7123372865,22111.0436592732,21638.9128153545
"All species","0.1",0.5,151008.70313758,161034.36753958,168515.085706942
"Jack pine","0.1",0.5,39882.8517128927,40721.6334416124,45794.9835891901
"Trembling aspen","0.1",0.5,28870.2531852231,32348.9191979672,34386.6496048035
"Black spruce","0.1",0.5,58811.1222621998,60804.2449508132,64446.0613720209
"Other species","0.1",0.5,19881.1865122024,22079.9846112146,21606.1731882968
"All species","0.1",0.6,150947.114044035,160789.657699853,168400.292869771
"Jack pine","0.1",0.6,39842.6434779717,40678.2428962251,45796.3191423019
"Trembling aspen","0.1",0.6,28849.7789209167,32302.8292465387,34352.4056448201
"Black spruce","0.1",0.6,58788.2175874845,60721.4157152004,64393.0559298842
"Other species","0.1",0.6,19876.0350868627,22052.041386523,21575.496394272
"All species","0.1",0.7,150890.431418303,160550.256304902,168292.682353168
"Jack pine","0.1",0.7,39800.7903612631,40633.1249217442,45797.8815480322
"Trembling aspen","0.1",0.7,28834.4379694309,32258.3927854183,34319.3291880763
"Black spruce","0.1",0.7,58765.4171512486,60640.4251738423,64342.5684695606
"Other species","0.1",0.7,19874.1596109039,22028.2221311875,21547.4924792253
"All species","0.1",0.8,150842.481678693,160321.681821849,168193.727854141
"Jack pine","0.1",0.8,39758.5132120665,40587.3355814481,45799.6830654234
"Trembling aspen","0.1",0.8,28827.1537959157,32217.1009077187,34287.9481199779
"Black spruce","0.1",0.8,58743.5368974476,60563.4814436801,64295.173969467
"Other species","0.1",0.8,19876.653915948,22009.590090473,21522.8249939812
"All species","0.1",0.9,150808.610772289,160111.164552216,168105.058941671
"Jack pine","0.1",0.9,39717.7574760305,40542.5593411616,45801.7435050793
"Trembling aspen","0.1",0.9,28831.888993632,32181.0031150208,34258.8554532124
"Black spruce","0.1",0.9,58723.8156747131,60493.6463710352,64251.5530084457
"Other species","0.1",0.9,19884.813006068,21997.2163815132,21502.2047644238
"All species","0.1",1,150796.008918717,159927.882475632,168028.438616354
"Jack pine","0.1",1,39681.3665074643,40501.2479896629,45804.0918557922
"Trembling aspen","0.1",1,28853.7746597029,32152.8024154174,34232.6988263545
"Black spruce","0.1",1,58708.0298340619,60434.9632407941,64212.484788473
"Other species","0.1",1,19900.1173128738,21992.1212911022,21486.379253317
"All species","0.1",1.1,150813.886614535,159782.98531125,167965.724418222
"Jack pine","0.1",1.1,39653.1722214827,40466.6892611103,45806.7675190473
"Trembling aspen","0.1",1.1,28899.0594983797,32135.8747472118,34210.1652519129
"Black spruce","0.1",1.1,58698.5829780608,60392.4766862032,64178.8286393864
"Other species","0.1",1.1,19924.1751916448,21995.2040118987,21476.1140419719
"All species","0.1",1.2,150873.339348798,159689.23480168,167918.809138113
"Jack pine","0.1",1.2,39637.9152887159,40442.933733662,45809.8206253075
"Trembling aspen","0.1",1.2,28974.7322596124,32134.1366851754,34191.9599659126
"Black spruce","0.1",1.2,58698.5301799618,60372.0708868124,64151.4934996725
"Other species","0.1",1.2,19958.6102473392,22007.1620147871,21472.1627880433
"All species","0.1",1.3,150986.749961111,159660.117361169,167889.539558094
"Jack pine","0.1",1.3,39640.9160019194,40434.5167886913,45813.3107992655
"Trembling aspen","0.1",1.3,29087.6994364116,32151.6932074996,34178.777766793
"Black spruce","0.1",1.3,58711.4921929837,60380.0620897313,64131.3967552927
"Other species","0.1",1.3,20004.8950068497,22028.406242652,21475.2237118817
"All species","0.1",1.4,151166.667551421,159708.40955986,167879.615831208
"Jack pine","0.1",1.4,39667.4723578387,40445.9607018421,45817.3038040059
"Trembling aspen","0.1",1.4,29243.5366616438,32192.2539330537,34171.2659362169
"Black spruce","0.1",1.4,58741.4284688077,60422.528986744,64119.4151736148
"Other species","0.1",1.4,20064.1538848649,22058.9864823306,21485.884535169
"All species","0.1",1.5,151424.262320035,159844.377836614,167890.47917164
"Jack pine","0.1",1.5,39722.0603517466,40481.1225665837,45821.8658918262
"Trembling aspen","0.1",1.5,29445.0661244134,32258.4078396909,34169.9801491444
"Black spruce","0.1",1.5,58792.2709048033,60504.4508224155,64116.3313381555
"Other species","0.1",1.5,20136.9744860241,22098.5464963761,21504.562511573
"All species","0.1",1.6,151767.636254756,160073.9934126,167923.199754955
"Jack pine","0.1",1.6,39807.5173269918,40542.5338581698,45827.0563969751
"Trembling aspen","0.1",1.6,29691.2260608181,32350.9502587555,34175.3377356443
"Black spruce","0.1",1.6,58867.4657072276,60628.8230725207,64122.7794951785
"Other species","0.1",1.6,20223.2694764525,22146.3253657676,21531.4495338103
"All species","0.1",1.7,152200.389203034,160397.638662284,167978.378696512
"Jack pine","0.1",1.7,39924.4436567452,40630.913651456,45832.9197958525
"Trembling aspen","0.1",1.7,29976.7128159323,32468.4950023858,34187.5745071703
"Black spruce","0.1",1.7,58969.5112656765,60795.9846089696,64139.1955904015
"Other species","0.1",1.7,20322.2226428055,22201.2109158393,21566.4728707752
"All species","0.1",1.8,152720.823421541,160809.69820013,168056.077315258
"Jack pine","0.1",1.8,40071.0145037869,40745.0011570947,45839.4787402536
"Trembling aspen","0.1",1.8,30292.6097038764,32607.5335624771,34206.7113181763
"Black spruce","0.1",1.8,59099.5955733008,61003.3685386748,64165.7772538695
"Other species","0.1",1.8,20432.3354678913,22261.8378574815,21609.2798955089
"All species","0.1",1.9,153322.000882345,161299.17530849,168155.783986022
"Jack pine","0.1",1.9,40243.2587734077,40881.7528521969,45846.729307681
"Trembling aspen","0.1",1.9,30627.8056864598,32762.9431973534,34232.5352962939
"Black spruce","0.1",1.9,59257.4165589179,61245.7700433099,64202.4596150719
"Other species","0.1",1.9,20551.5675489152,22326.7120421853,21659.2509842911
"All species","0.1",2,153992.614050216,161851.156820498,168276.424274816
"Jack pine","0.1",2,40435.7031986836,41036.8316831275,45854.6391107552
"Trembling aspen","0.1",2,30970.7114023046,32928.7806286956,34264.599176558
"Black spruce","0.1",2,59441.2188664139,61516.0568025617,64248.9113340813
"Other species","0.1",2,20677.5418530703,22394.3366922856,21715.5395731013
"All species","0.2",0,151162.855130656,162011.20660333,169149.671902188
"Jack pine","0.2",0,40016.5875384408,40865.2409326605,45781.0826703438
"Trembling aspen","0.2",0,28980.9165988066,32534.3653826537,34563.9346687071
"Black spruce","0.2",0,58881.3003362404,61133.7858248329,64743.3008300465
"Other species","0.2",0,19908.2243665631,22233.6984176799,21777.8835367339
"All species","0.2",0.1,151102.276540426,161781.780081274,169015.662864024
"Jack pine","0.2",0.1,39989.4771607788,40834.4064337864,45781.2704246723
"Trembling aspen","0.2",0.1,28955.4816824189,32489.784933665,34529.4435296017
"Black spruce","0.2",0.1,58862.0510068102,61056.5951194513,64683.4691170753
